game_id,season,week,home_team,away_team,provider,spread_home,over_under,openingSpread,formattedSpread
401119310,2019,14,Akron,Ohio,Caesars,27.5,53.5,,Ohio -27.5
401119310,2019,14,Akron,Ohio,Bovada,28.0,53.0,,Ohio -28.0
401119311,2019,14,Northern Illinois,Western Michigan,teamrankings,10.0,51.0,,Western Michigan -10
401119311,2019,14,Northern Illinois,Western Michigan,numberfire,10.0,50.5,,Western Michigan -10
401119311,2019,14,Northern Illinois,Western Michigan,consensus,10.0,51.5,,Western Michigan -10
401119311,2019,14,Northern Illinois,Western Michigan,Caesars,10.0,52.0,,Western Michigan -10
401119311,2019,14,Northern Illinois,Western Michigan,Bovada,9.0,51.0,,Western Michigan -9.0
401119312,2019,14,Buffalo,Bowling Green,teamrankings,-28.0,53.5,,Buffalo -28
401119312,2019,14,Buffalo,Bowling Green,numberfire,-28.0,53.5,,Buffalo -28
401119312,2019,14,Buffalo,Bowling Green,consensus,-28.0,53.5,,Buffalo -28
401119312,2019,14,Buffalo,Bowling Green,Caesars,-27.5,53.5,,Buffalo -27.5
401119312,2019,14,Buffalo,Bowling Green,Bovada,-28.0,54.0,,Buffalo -28.0
401119313,2019,14,Eastern Michigan,Kent State,teamrankings,-4.0,68.5,,Eastern Michigan -4
401119313,2019,14,Eastern Michigan,Kent State,numberfire,-3.5,68.5,,Eastern Michigan -3.5
401119313,2019,14,Eastern Michigan,Kent State,consensus,-3.5,68.5,,Eastern Michigan -3.5
401119313,2019,14,Eastern Michigan,Kent State,Caesars,-3.5,68.0,,Eastern Michigan -3.5
401119313,2019,14,Eastern Michigan,Kent State,Bovada,-3.5,69.0,,Eastern Michigan -3.5
401119314,2019,14,Ball State,Miami (OH),teamrankings,-3.0,55.5,,Ball State -3
401119314,2019,14,Ball State,Miami (OH),numberfire,-3.0,55.5,,Ball State -3
401119314,2019,14,Ball State,Miami (OH),consensus,-3.0,55.5,,Ball State -3
401119314,2019,14,Ball State,Miami (OH),Caesars,-3.0,55.5,,Ball State -3
401119314,2019,14,Ball State,Miami (OH),Bovada,-3.0,55.5,,Ball State -3.0
401119315,2019,14,Central Michigan,Toledo,teamrankings,-14.5,64.0,,Central Michigan -14.5
401119315,2019,14,Central Michigan,Toledo,numberfire,-14.5,65.0,,Central Michigan -14.5
401119315,2019,14,Central Michigan,Toledo,consensus,-14.5,65.0,,Central Michigan -14.5
401119315,2019,14,Central Michigan,Toledo,Caesars,-14.5,63.5,,Central Michigan -14.5
401119315,2019,14,Central Michigan,Toledo,Bovada,-14.5,64.0,,Central Michigan -14.5
401121979,2019,14,South Alabama,Arkansas State,teamrankings,10.5,53.0,,Arkansas State -10.5
401121979,2019,14,South Alabama,Arkansas State,numberfire,10.5,53.5,,Arkansas State -10.5
401121979,2019,14,South Alabama,Arkansas State,consensus,10.5,53.0,,Arkansas State -10.5
401121979,2019,14,South Alabama,Arkansas State,Caesars,10.0,52.5,,Arkansas State -10
401121979,2019,14,South Alabama,Arkansas State,Bovada,10.5,53.0,,Arkansas State -10.5
401121980,2019,14,Coastal Carolina,Texas State,teamrankings,-7.0,52.0,,Coastal Carolina -7
401121980,2019,14,Coastal Carolina,Texas State,numberfire,-7.0,52.0,,Coastal Carolina -7
401121980,2019,14,Coastal Carolina,Texas State,consensus,-7.0,52.0,,Coastal Carolina -7
401121980,2019,14,Coastal Carolina,Texas State,Caesars,-7.0,51.0,,Coastal Carolina -7
401121980,2019,14,Coastal Carolina,Texas State,Bovada,-7.0,52.0,,Coastal Carolina -7.0
401114346,2019,14,Liberty,New Mexico State,teamrankings,-14.5,68.0,,Liberty -14.5
